,tsne_dim_1,tsne_dim_2
758,121.7357,-38.410976
759,230.12393,-137.24237
760,91.38917,18.05551
761,-283.7994,15.155414
762,-82.45734,-53.2302
763,-53.52232,215.13135
764,249.49863,47.192207
765,216.07544,-58.467854
766,109.07536,0.61074513
767,-96.139854,-161.17227
768,-209.00977,71.30867
769,261.23856,48.452766
770,46.255753,-69.55971
771,74.74801,-187.27388
772,-134.4122,-177.78882
773,-109.55679,38.380444
774,56.61477,335.0456
775,109.26652,79.10954
776,-138.69691,-153.92601
777,195.52794,61.818123
778,148.07375,138.36444
779,238.4674,-99.8627
780,-20.573725,212.33374
781,196.02423,-122.722786
782,-87.349464,116.80856
783,-101.98248,213.91196
784,-115.36648,68.433815
785,78.9637,31.326471
786,-67.49063,-180.9153
787,-216.1729,-87.218666
788,124.58575,10.469953
789,233.0697,-21.17798
790,164.18172,22.725536
791,41.56307,51.93064
792,-102.42272,-189.68724
793,-226.36382,93.954414
794,-123.23063,78.57624
795,-165.30347,79.89916
796,-50.461327,-58.660263
797,-63.465424,89.0595
798,70.96012,0.7008521
799,31.650013,-101.11493
800,224.95892,-58.010906
801,-0.2667385,-137.52524
802,-40.86091,244.32292
803,142.72206,-89.40534
804,-195.18803,-138.66418
805,-201.81947,-108.06717
806,-67.73289,152.42274
807,10.868572,255.63704
808,66.10255,-32.76263
809,-64.190704,-123.020134
810,202.56468,-111.04232
811,-6.1419034,307.02817
812,14.394827,138.61597
813,17.14019,-75.01022
814,-7.577029,300.98505
815,-188.23636,75.20477
816,-33.33784,-10.708265
817,219.21501,50.62172
818,55.886715,325.40442
819,244.35806,51.1335
820,-273.58197,-92.50897
821,-275.85135,-50.14205
822,242.9006,71.33968
823,-114.41924,-39.21674
824,-144.38506,-5.6344543
825,-240.86974,-114.26123
826,233.27971,-79.16227
827,-199.20992,128.47833
828,-50.985302,16.36637
829,113.95311,-50.778805
830,87.25533,114.15909
831,38.306885,209.96573
832,-147.47551,198.47868
833,-63.778893,190.56572
834,-161.8658,182.01762
835,284.58463,-21.580288
836,-93.05519,195.21341
837,-186.64899,-55.398098
838,-176.18459,-60.46253
839,178.90015,22.510433
840,-79.21916,-59.534306
841,87.309616,-120.17245
842,165.20288,-56.470936
843,-4.277656,215.06247
844,-52.93384,-175.1528
845,180.43832,27.853838
846,330.7025,-69.58655
847,-74.03256,-109.67804
848,-192.94255,-157.44882
849,118.95065,26.486113
850,-9.407915,157.52695
851,65.15474,-104.99681
852,-96.487785,-187.36732
853,143.11699,10.798748
854,-250.62352,61.3152
855,252.22575,0.3212686
856,-72.45166,-142.16405
857,-286.88992,-19.14099
858,-72.75578,219.21895
859,-106.52162,-206.93565
860,262.25198,116.37602
861,199.54942,13.312174
862,-137.381,-158.03062
863,177.12288,-80.238464
864,-136.88823,-130.27505
865,-32.09876,-134.27646
866,13.510568,161.94702
867,-121.92629,-214.35007
868,-277.60565,-81.30005
869,134.26717,-11.995863
870,-111.9608,-28.224983
871,109.4838,-24.823498
872,79.38772,57.034595
873,-69.03026,206.5073
874,26.531458,-99.1726
875,177.88629,20.739433
876,45.033283,-127.41334
877,-132.01443,-129.9628
878,228.5397,116.870865
879,142.82051,-26.065271
880,91.46743,19.618296
881,38.9374,-62.78265
882,165.5174,-95.22116
883,325.22046,-25.77636
884,170.85428,-5.1989264
885,102.43444,-81.04822
886,147.34805,-138.94624
887,-23.51948,-140.7311
888,-57.55243,93.30502
889,-37.945953,-149.0007
890,189.50043,-38.362312
891,-157.46542,-136.09135
892,-65.69147,57.92038
893,-172.76596,156.84288
894,-15.306874,35.32217
895,279.72906,-34.704185
896,28.091965,319.66202
897,-151.07533,58.477207
898,-63.671356,-197.00989
899,50.008747,-63.350304
900,214.51802,-58.013424
901,181.99202,-115.925415
902,128.76035,-163.32523
903,396.5067,-124.228
904,-137.60698,103.30668
905,-49.716656,-14.448868
906,196.57263,50.678364
