,tsne_dim_1,tsne_dim_2
275,163.045,243.82101
276,-186.39537,41.80313
277,46.63203,-221.12378
278,-230.1476,89.805016
279,-51.385616,40.921314
280,-23.557775,131.89236
281,-73.15243,-46.979992
282,-144.10417,-136.42822
283,217.0215,-148.03307
284,96.04555,94.186485
285,96.30823,158.06248
286,-124.44726,70.950905
287,-11.919881,-169.2323
288,-216.76872,6.872517
289,-2.0487328,74.57332
290,-91.23597,154.13539
291,296.3432,-94.89134
292,-90.23014,-214.4727
293,185.279,-136.52283
294,-235.15253,-62.307816
295,62.207664,-65.77357
296,-86.94439,31.724133
297,-175.58266,-242.60951
298,-55.197044,-211.24031
299,60.120502,-8.787049
300,-182.80421,-40.77427
301,-49.800808,-215.94777
302,-203.25288,98.88247
303,55.127823,85.372406
304,-226.24046,-113.07876
305,73.41553,82.17895
306,-15.183631,-0.3862923
307,176.18701,-49.76605
308,78.282646,-61.12875
309,2.4076939,83.15511
310,157.51791,-13.752213
311,-195.38997,16.699793
312,222.88828,121.29501
313,276.3319,-145.1158
314,124.11941,-131.53734
315,125.32272,-131.68648
316,135.05006,-45.567585
317,13.232491,-145.97607
318,19.907578,209.3147
319,-163.72989,-212.6844
320,47.31506,-186.39265
321,165.04488,62.434734
322,165.76108,68.159645
323,211.77654,-16.10085
324,-115.01947,111.149895
325,18.517536,211.16275
326,-201.73854,-57.357807
327,-63.55967,106.08519
328,113.63717,-45.829853
329,-22.385777,64.8458
330,-31.770905,1.6250904
331,-110.33276,-53.701393
332,188.73735,3.2988935
333,186.82362,-49.101322
334,-123.84635,71.62282
335,60.150417,25.263031
336,-78.91386,-170.12401
337,237.63675,119.30234
338,-214.80775,-90.88864
339,-20.034008,-177.08737
340,-77.53726,-170.67407
341,294.13174,-132.50558
342,235.32446,-142.22607
343,-106.64499,12.35883
344,-289.403,-3.26505
345,-230.47684,62.76436
346,275.28815,-153.18295
347,273.72964,-48.29894
348,229.43958,65.18408
349,339.00052,-87.55677
350,61.94805,-52.8065
351,-143.30937,114.49642
352,-212.03001,70.30016
353,336.4685,-104.455124
354,78.799774,-0.4919817
355,-41.733833,-37.25637
356,-30.274786,-228.79874
357,-149.40048,-82.48344
358,92.315704,-51.475742
359,267.7523,-158.5334
360,-105.219,-62.39031
361,128.13762,-112.15577
362,191.79198,-69.667465
363,132.86377,-53.234985
364,216.29433,66.01247
365,114.55297,155.4417
366,86.728645,-44.740948
367,-107.241264,19.598822
368,191.73215,192.89497
369,2.8027098,33.97324
370,183.46873,-149.62984
371,-7.2847147,1.2093046
372,70.48809,15.147009
373,-293.75314,-26.71411
374,28.486292,-221.05782
375,-62.840847,-186.55301
376,144.05016,53.663788
377,-80.811584,128.6766
378,-35.499203,231.108
379,257.71106,-63.57788
380,-56.168243,91.70227
381,-31.928741,129.4564
382,42.05685,-233.63057
383,196.75952,-138.9946
384,265.2489,-100.48294
385,2.6687825,86.55778
386,102.75333,-8.93821
387,-78.19094,-27.600126
388,52.75793,-241.45291
389,-271.95816,-21.675022
390,76.120674,12.4509945
391,61.103,-166.0223
392,6.873851,14.737796
393,261.98914,-68.59737
394,-199.3496,-50.101612
395,7.4968486,27.148544
396,-151.4037,79.41436
397,241.67441,-82.76867
398,-174.95264,-57.833546
399,-104.993744,-7.866756
400,-229.97293,-252.61331
401,91.570175,-4.250414
402,157.73058,-20.80914
403,-69.44663,-122.40948
404,-195.46123,-59.411144
405,233.51454,-135.85077
406,109.55917,-95.14947
407,266.70395,-134.93245
408,-17.131418,122.7503
409,-124.737206,-250.8955
410,56.762596,-177.70924
411,-204.01007,-63.378197
412,-199.06477,152.32303
413,164.28117,200.15999
414,163.83232,-142.07066
415,-69.2917,-49.236706
416,203.98975,-154.59682
417,-166.15681,-53.9539
418,4.9281697,191.5679
419,-65.26286,37.609623
420,-47.775646,-166.88441
421,125.98287,132.76779
422,165.79683,202.64034
423,346.14948,-91.11208
424,-230.33684,64.35184
425,-215.74681,-249.51782
426,294.92688,-118.788055
427,258.12708,-135.00412
428,159.2523,220.51967
429,337.0391,-103.245926
430,115.12244,177.68079
431,-143.96696,-62.46924
432,98.720634,9.121178
433,298.71332,-121.817924
434,-80.00303,106.82071
435,-99.83905,-63.505245
436,176.11491,-17.553885
437,120.488304,136.25568
438,110.98069,-164.19559
439,-228.63455,-105.95628
440,169.69563,92.32439
441,-44.78113,-55.838154
442,57.992424,-1.6337148
443,174.14973,-22.321678
444,147.34856,52.70529
445,54.788704,21.834002
446,-59.476227,-14.337714
447,-114.610435,-220.76733
448,3.5613425,-229.33594
449,-129.18922,-46.33896
450,112.12783,-15.143203
451,298.14267,-115.94393
452,-98.49767,47.250416
453,248.19138,-149.99124
454,-247.70985,66.75502
455,-238.44627,-98.5282
456,296.36462,-121.18083
457,328.97687,-82.16857
458,265.47437,-146.55775
459,276.36264,-136.53917
460,46.320232,18.549112
461,150.84604,244.08368
462,151.13441,173.02477
463,20.465078,138.14442
464,-118.417465,-150.18445
465,82.68517,-44.197998
466,-101.50346,42.687874
467,-251.17995,80.589
468,-202.4408,-232.1979
469,67.95661,-0.7794167
470,-213.7424,-87.77694
471,273.0791,-145.17332
472,17.583399,-252.8854
473,34.7932,-185.93549
474,-59.641888,44.407223
475,-204.73512,-90.77273
476,21.996378,-125.31607
477,-151.76398,-51.037785
478,182.1591,-84.342606
479,-231.13515,94.765564
480,-97.556725,43.24052
481,162.52065,220.01793
482,135.97224,109.97324
483,-70.142876,-49.38513
484,-110.71058,26.305822
485,-67.899864,-7.3632827
486,12.343373,-84.06042
487,170.0493,51.54764
488,-30.161287,72.49211
489,-209.64099,151.79237
490,350.06094,-89.95841
491,-81.006584,174.57228
492,56.45499,45.469097
493,-65.81649,52.415028
494,-119.96942,174.07124
495,-23.921402,187.95845
496,-234.24074,-259.89972
497,-141.66638,-195.3911
498,-27.741665,230.12305
499,296.6287,-131.50677
500,307.76273,-67.087135
501,-131.73007,-196.85197
502,293.29053,-125.41706
503,145.31404,78.07178
504,269.75812,-135.48497
505,123.64714,-54.820454
506,148.73975,-137.86346
507,84.741615,-142.31894
508,143.87119,-22.60312
509,-24.71466,-158.57901
510,49.738613,93.34103
511,-164.88843,-92.46908
512,259.11914,-86.20501
513,-90.76106,-161.92657
514,-94.57279,5.8503923
515,-105.249596,91.815384
516,164.68193,-60.383827
517,289.464,-128.85066
518,-151.64247,-66.37916
519,-95.17144,19.71325
520,-218.06142,-16.783434
521,235.46115,-71.71662
522,-77.022804,-25.938688
523,56.55808,9.142598
524,331.28168,-72.647644
525,110.25676,175.81902
526,242.85666,-163.73138
527,-9.209184,167.40282
528,-276.7318,102.08614
529,-210.71936,-239.06335
530,100.42076,-156.15897
531,175.80841,-151.25699
532,30.899704,-59.955128
533,-87.33873,-57.823162
534,122.83355,89.22883
535,-254.89114,66.163086
536,-196.11845,115.13247
537,-251.90115,-230.75389
538,268.024,-78.45412
539,352.95044,-60.863174
